judul,tahun,topic,probability,topic_name
peningkatan serapan kunjungan turis wisata dengan aplikasi e explanation journey berbasis tourist features di kawasan bumi perkemahan bedengan kabupaten malang,2021,2,1.0,2_tourism_wisata_ecotourism_sustainable
thermogravimetric analysis on combustion behavior of marine microalgae spirulina platensis induced b,2019,55,1.0,55_combustion_platensis_microalgae_spirulina
critical thinking and reflective thinking skills in elementary school learning,2020,28,0.8567155497690249,28_critical_thinking_skills_berpikir
study on photocatalytic properties of tio sub 2 sub nanoparticle in various ph condition,2018,47,0.7709987118541765,47_photocatalytic_degradation_tio2_methylene
penilaian pendidikan jasmani olahraga dan kesehatan pada sekolah menengah pertama negeri kota malang,2019,58,0.3746865970407822,58_olahraga_jasmani_sports_kesehatan
zeolite impregnated with ag as catalysts for glycerol conversion to ethanol assisted by ultrasonic,2019,-1,0.0,-1_dan_the_and_of
sastra lisan kajian teori dan penerapannya,2017,222,1.0,222_filsafat_sebuah_penerapannya_manusia
peningkatan kapasitas antioksidan akibat latihan aerobik intensitas sedang,2022,65,0.26104105521501336,65_exercise_obese_intensity_moderate
study on photocatalytic properties of tio2 nanoparticle in various ph condition,2018,47,0.7396866876126851,47_photocatalytic_degradation_tio2_methylene
pengembangan model latihan smash bolavoli pada kegiatan ekstrakurikuler di smpn 12 malang,2016,56,0.4543955536530408,56_drill_latihan_ekstrakurikuler_bolavoli
the evaluation of coursebook for grade x senior high school,2019,-1,0.0,-1_dan_the_and_of
a multimodal semiotic analysis of university branding posters and films,2020,7,0.892176143277658,7_brand_marketing_customer_consumer
lamikro berbasis android solusi mudah bagi fasilitator dan komunitas usaha mikro preman super di kota malang,2021,12,0.8602428724667263,12_android_mobile_media_smartphone
analisisi perspektif mahasiswa pada penerapan kertas kerja atlas di era digital,2021,-1,0.0,-1_dan_the_and_of
business in the new normal era disclosure of accounting practice at msmes in malang city,2021,-1,0.0,-1_dan_the_and_of
revealing the sharia accounting practise at east java msmes to support halal business climate,2021,118,0.5948839459029149,118_sharia_syariah_islamic_banks
sharia accounting perception according to msmes in east java to foster a spirit of business continuity,2021,118,0.966314344589746,118_sharia_syariah_islamic_banks
studi literatur skeptisme kesiapan dan keahlian auditor dalam penggunaan software penunjang kegiatan audit berbasis digital,2021,83,1.0,83_fraud_audit_teknologi_auditing
pemanfaatan teknologi informasi terhadap kualitas audit dan upaya pencegahan fraud,2021,83,1.0,83_fraud_audit_teknologi_auditing
peran kemajuan teknologi informasi dalam praktik audit investigasi,2021,83,1.0,83_fraud_audit_teknologi_auditing
implementasi teknologi informasi dalam meningkatkan proses audit di era digital,2021,83,1.0,83_fraud_audit_teknologi_auditing
pengendalian internal sistem penggajian esensi langkah ekspansi umkm studi pada usaha dagang di kabupaten ngawi jawa timur ,2021,41,0.3096781469635982,41_kesehatan_medical_health_pelayanan
training of trainer model in an effort to improve the professionalism of accounting teachers,2021,33,0.644106624329385,33_akuntansi_accounting_mahasiswa_ifrs
pendampingan penyiapan cafe pinggir kali sebagai wujud pemanfaatan sungai untuk daya tarik wisata alam bumi perkemahan bedengan desa selorejo kabupaten malang jawa timur,2020,2,1.0,2_tourism_wisata_ecotourism_sustainable
pembelajaran menggambar pada kanak kanak,2001,-1,0.0,-1_dan_the_and_of
optimalisasi peran dunia industri dalam pembangunan daerah melalui corporate social responsibility,2020,170,0.7174810747808671,170_responsibility_corporate_csr_social
pelatihan dan pendampingan pembelajaran berbasis ict bagi guru akuntansi smk di kota malang,2020,33,0.594362471896864,33_akuntansi_accounting_mahasiswa_ifrs
towards the qualified human resource internship program at leading ex lptk universities in indonesia,2020,-1,0.0,-1_dan_the_and_of
sertifikat halal bagi produk makanan dan minuman untuk meningkatkan citra umkm di kabupaten blitar,2020,145,0.7685360138067207,145_halal_sertifikasi_certification_produk
role of the parent factor causes and sexual violence prevention efforts in teenagers in the scope of school,2022,-1,0.0,-1_dan_the_and_of
pendampingan praktik budaya nembang macapatan sebagai wahana sarasehan pembudayaan nilai nilai pancasila,2020,146,0.9913274953614962,146_budaya_cagar_kebudayaan_etnis
problematika pengintegrasian penguatan pendidikan karakter pada pembelajaran tematik,2019,22,0.8623544908541667,22_karakter_character_pendidikan_nilai
pendidikan dan latihan penyusunan perangkat pembelajaran yang mengintegrasikan ppk bagi guru ppkn mp di kota malang,2018,32,0.43172533900782695,32_guru_professional_professionalism_profesional
efektivitas pelaksanaan e procurement dalam pengadaan barang dan jasa,2018,7,0.4046576497067377,7_brand_marketing_customer_consumer
public private partnerships in improving the quality of education for the poor in indonesia,2016,132,0.3594153037587204,132_inclusive_special_education_attitudes
examining public private partnership within the field of education as a means of improving education quality in malang a case study of sma negeri 10 malang sampoerna foundation,2016,-1,0.0,-1_dan_the_and_of
kebijakan pemerintah dalam memperkokoh jati diri dan wawasan kebangsaan di era global,2016,97,0.41532167488721705,97_hukum_konstitusi_negara_demokrasi
sub power plants injection to power grid based on wind and solar energy farms,2021,4,0.9775417249946695,4_power_voltage_grid_harmonic
model pembelajaran pendidikan karakter dengan pendekatan multikultural dalam pendidikan kewarganegaraan di perguruan tinggi,2016,22,0.15162253927769415,22_karakter_character_pendidikan_nilai
pengembangan media cd pembelajaran berbasis prezi pada pokok bahasan globalisasi mata pelajaran pkn kelas ix mtsn bangsal mojokerto,2014,-1,0.0,-1_dan_the_and_of
peningkatan hasil belajar siswa melalui pembelajaran koop eratif card sort berbasis kontektual dalam mata pelajaran pkn di smp negeri 10 malang,2014,-1,0.0,-1_dan_the_and_of
kompetensi kepribadian dominan dalam pendidikan profesi guru,2021,-1,0.0,-1_dan_the_and_of
islamic crash course as a leadership strategy of school principals in strengthening school organizat,2018,18,0.9656069570956397,18_islamic_islam_boarding_agama
kepemimpinan visioner di lembaga pendidikan,2017,13,1.0,13_kepemimpinan_kepala_leadership_sekolah
management of community participation at pesantren based junior high school,2016,-1,0.0,-1_dan_the_and_of
supervision graduate competence standard parents role and the effectiveness of online learning during covid 19 pandemic,2021,11,0.5963389691646189,11_pandemic_covid_19_during
krisis tata kelola pendidikan indonesia,2021,-1,0.0,-1_dan_the_and_of
the comparative analysis of using communication technology and direct techniques in building school public relation,2019,-1,0.0,-1_dan_the_and_of
the impacts of school operational assistance in indonesia,2019,-1,0.0,-1_dan_the_and_of
kerjasama smk dan cisco system dalam meningkatkan mutu pembelajaran teknik komputer jaringan,2018,-1,0.0,-1_dan_the_and_of
manajemen kurikulum english lover,2018,67,0.9985787873617239,67_english_inggris_kalbos_angl
hubungan sekolah dan masyarakat,2015,-1,0.0,-1_dan_the_and_of
hubungan implementasi budaya akademik dengan sikap ilmiah mahasiswa universitas negeri malang,2015,-1,0.0,-1_dan_the_and_of
satu kepala sekolah dua marwah kurikulum,2015,-1,0.0,-1_dan_the_and_of
mendapuk kepala sekolah dari guru profesional,2014,-1,0.0,-1_dan_the_and_of
pengembangan implementasi gerakan literasi sastra anak mampukah menumbuhkan minat baca siswa sekolah dasar,2022,9,1.0,9_reading_membaca_comprehension_literasi
pengaruh supervisi pengajaran dan gaya kepemimpinan kepala sekolah terhadap kinerja guru di sma negeri se kabupaten lamongan,2012,13,0.5932322846802266,13_kepemimpinan_kepala_leadership_sekolah
women right and gender equality in islam a survey of students perception on feministic discourse,2021,-1,0.0,-1_dan_the_and_of
tashmm ibtikr tadrs al lughoh al arabiyyah al assi android tathwr al mawd al dirsiyyah li mdah al tarkb al mukatstsaf al ibtid bi qism al adab al araby,2020,197,0.7897780535643452,197_al_wa_ta_fi
pendampingan penyusunan program pengembangan kelembagaan dan pembelajaran pos paud yang adaptif terhadap perkembangan teknologi,2021,-1,0.0,-1_dan_the_and_of
development of content learning system in professional education subjects for educational institutions in indonesia,2020,-1,0.0,-1_dan_the_and_of
development of content learning system in professional education subjects for educational institutio,2020,-1,0.0,-1_dan_the_and_of
development of e learning courses for subjects about learn and learningwith moodle based for prospective teacher in indonesia,2020,256,1.0,256_moodle_subjects_mkdk_learn
transformation the meaning of learning for millennial generation on digital era ,2020,-1,0.0,-1_dan_the_and_of
the efforts to strengthen nationalist character values through the methods of story telling and dancing,2020,-1,0.0,-1_dan_the_and_of
pelatihan penulisan karya tulis ilmiah berpola 40 jam bagi guru tk paud,2020,161,1.0,161_ilmiah_penulisan_artikel_guru
pengembangan inovasi pendidikan prasekolah di lingkungan binaan um berbasis mastery progresif,2019,-1,0.0,-1_dan_the_and_of
transformasi belajar generasi milenial,2018,-1,0.0,-1_dan_the_and_of
facilitative learning to improve student learning creativity,2018,63,0.6877913542138531,63_creative_kreatif_thinking_mind
model of moral and religious learning for early childhood constructivist oriented,2018,-1,0.0,-1_dan_the_and_of
internalisasi nilai karakter nasionalisme melalui dongeng dan tari dori bagi anak usia dini,2018,-1,0.0,-1_dan_the_and_of
integration models of religious and moral values in tematic learning in early childhood education programs,2018,-1,0.0,-1_dan_the_and_of
pelatihan penyusunan program penguatan pendidikan karakter guru paud malang,2018,32,0.3867187421457981,32_guru_professional_professionalism_profesional
supervisi budaya dalam meningkatkan implementasi kurikulum 2013 di taman kanak kanak,2017,-1,0.0,-1_dan_the_and_of
pelatihan menulisan artikel ilmiah bagi guru sekolah dasar dan taman kanak kanak kecamatan tajinan kabupaten malang,2017,161,0.7724598867633622,161_ilmiah_penulisan_artikel_guru
peran orang tua membentuk generasi emas,2015,183,0.9343852896626941,183_older_longevity_ageing_aging
inovasi media pembelajaran bagi kecerdasan jamak anak taman kanak kanak,2014,37,1.0,37_media_pembelajaran_pengembangan_bagi
analisis penerapan strategi media dan penilaian pembelajaran pjok pada masa pandemi covid 19 di smk negeri se kota malang,2022,-1,0.0,-1_dan_the_and_of
penerapan media audio visual dalam meningkatkan hasil latihan teknik dasar dollyo chagi pada peserta ekstrakurikuler taekwondo di sma,2022,-1,0.0,-1_dan_the_and_of
pengembangan model pembelajaran tgfu untuk meningkatkan teknik dasar sepak cungkil dan sepak sila sepak takraw,2021,-1,0.0,-1_dan_the_and_of
 efektivitas pembelajaran sport massase berbasis multimedia interaktif untuk mahasiswa pendidikan jasmani kesehatan dan rekreasi ,2020,-1,0.0,-1_dan_the_and_of
efektivitas penilaian online dan konvensional pada ranah kognitif dalam pembelajaran pjok kelas x sman se kabupaten trenggalek,2019,-1,0.0,-1_dan_the_and_of
peningkatan keterampilan smash kedeng menggunakan metode drill bervariasi bagi peserta ekstrakurikuler sepaktakraw di smpn 6 malang,2019,56,1.0,56_drill_latihan_ekstrakurikuler_bolavoli
pengembangan model pembelajaran servis backhand untuk peserta ekstrakurikuler tenis meja di sdn 01 lumutan kabupaten bondowoso,2019,-1,0.0,-1_dan_the_and_of
koherensi program pembelajaran karya mahasiswa pendidikan profesi guru fisika tahun 2017,2019,43,0.9845246922609006,43_fisika_physics_padat_peta
pembinaan keterampilan untuk meningkatkan sdm warga binaan lapas kelas i malang,2021,-1,0.0,-1_dan_the_and_of
evaluasi penggunaan model pembelajaran mind mapping pada mata kuliah desain ilustrasi,2021,-1,0.0,-1_dan_the_and_of
development of open education resources oer learning in vocational education,2019,-1,0.0,-1_dan_the_and_of
the development of learning media in the form of pop up books to understand narrative text,2020,-1,0.0,-1_dan_the_and_of
analysis of desires of the main character in the short story ein tisch ist ein tisch by peter bichsel a study of deleuze and guattari s schizoanalysis,2020,70,0.4538496610984276,70_novel_effendi_mitos_kadarisman
prosiding seminar nasional dalam jaringan sedaring nitisastra 5 menembus batas kreasi menuju generasi mandiri membangun profil pembelajaran bahasa dan sastra indonesia pada era kehidupan dalam jaringan,2021,1,1.0,1_indonesian_bahasa_language_indonesia
pengembangan media belajar mooc bagi guru pamong ppl ppg universitas negeri malang,2020,37,1.0,37_media_pembelajaran_pengembangan_bagi
language expressions in constructing physical masculinity in indonesian teen lit,2020,-1,0.0,-1_dan_the_and_of
buddy school membangun pertemanan antarsekolah,2020,-1,0.0,-1_dan_the_and_of
teenlit dan bahasa yang berkarakter indonesia,2015,1,1.0,1_indonesian_bahasa_language_indonesia
membaca kritis teenlit sebuah upaya menjadikan teenlit sebagai media pendidikan karakter,2013,-1,0.0,-1_dan_the_and_of
penerimaan perempuan terhadap poligami dalam film ayat ayat cinta,2009,30,0.42720824432772625,30_gender_women_perempuan_kesetaraan
refleksi kritis ujian nasional menuju ujian sekolah,2004,-1,0.0,-1_dan_the_and_of
tingkat kebisingan terhadap kenyamanan ruang kelas studi kasus 12 sekolah dasar di kabupaten malang ,2021,-1,0.0,-1_dan_the_and_of
pengembangan e modul sketchup berorientasi project based learning pada mata pelajaran menggambar dengan perangkat lunak smkn 1 sidoarjo,2020,-1,0.0,-1_dan_the_and_of
opinions about the use of higher order thinking skills in general vocational and academic education learning in indonesia,2020,130,0.735731711897535,130_order_higher_thinking_hots
level of thinking in exams and assignments as assessment in the civil engineering department state university of malang indonesia,2018,-1,0.0,-1_dan_the_and_of
edukasi dan pelatihan kewirausahaan pembuatan jamu untuk pemberdayaan perempuan desa langlang kabupaten malang,2021,-1,0.0,-1_dan_the_and_of
assessment of financial ratio analysis for evaluation of small medium enterprises sme performance study on irt ramayana agro mandiri batu city 2016 2019 ,2021,-1,0.0,-1_dan_the_and_of
pengaruh islamic perspective terhadap employee motivation dalam memenuhi tuntutan perubahan lingkungan bisnis,2021,-1,0.0,-1_dan_the_and_of
chemistry students digital literacy skills on thermochemistry context hydrogen fuel issue ,2022,3,1.0,3_chemistry_chemical_kimia_base
synthesis of zeolite na hx using silica based of coastal sand by hydrothermal method,2020,49,0.5498280924265602,49_silica_chitosan_aerogel_cellulose
effect of temperature synthesis on structural behaviours of nay zeolite using local sand as a silica source,2020,49,0.6292168163526718,49_silica_chitosan_aerogel_cellulose
a molecular docking study of dehydroevodiamine as an inhibitor of epstein barr virus protease,2020,257,1.0,257_molecular_docking_16_papillomavirus
chemistry teachers views about scientific inquiry a study in east java province of indonesia,2019,3,0.7209074304332875,3_chemistry_chemical_kimia_base
pengembangan instrumen tes diagnostik two tier pada materi asam basa,2016,126,0.57517766234029,126_instrumen_diagnostik_tier_tes
theoretical study on 15 crown 5 complex with some metal cations,2012,34,0.14222441695263877,34_silver_complexes_adducts_ligands
the factors influencing students proof comprehension on mathematical induction,2022,0,1.0,0_mathematical_mathematics_solving_problems
strong rainbow connection numbers of helm graphs and amalgamation of lollipop graphs,2021,31,1.0,31_graphs_graph_minimal_ramsey
on ramsey p inf 3 inf c inf 7 inf minimal graphs,2020,31,1.0,31_graphs_graph_minimal_ramsey
on ramsey p inf 3 inf c inf 6 inf minimal graphs for certain order,2020,31,1.0,31_graphs_graph_minimal_ramsey
perencanaan pembangunan,2014,-1,0.0,-1_dan_the_and_of
on the properties of bipolar anti fuzzy graph magic labeling,2019,31,1.0,31_graphs_graph_minimal_ramsey
some unicyclic ramsey p inf 3 inf p inf n inf minimal graphs,2019,31,0.8930046575211389,31_graphs_graph_minimal_ramsey
on ramsey i p i sub 3 sub i p i sub 6 sub minimal graphs,2016,31,1.0,31_graphs_graph_minimal_ramsey
on ramsey minimal graphs for the pair paths ,2015,31,1.0,31_graphs_graph_minimal_ramsey
on ramsey minimal graphs for the pair paths,2015,31,1.0,31_graphs_graph_minimal_ramsey
aplikasi machine learning di bidang manajemen konstruksi,2022,39,0.7912257169647922,39_bangunan_soft_teknik_engineering
optimizing deep learning ann model to predict customer churn,2021,129,0.6402739259091823,129_forecasting_neural_visitors_series
pengembangan media pembelajaran berbasis geo search pada materi geografi pokok bahasan sebaran dan pemanfaatan sumber daya alam,2021,38,0.5007868193166125,38_geography_geografi_spatial_outdoor
geopolitical implication on contested waters comparison between indonesia and the philippines strategy to overlapping south china sea waters,2020,84,0.27311418774226165,84_indonesia_politik_political_keadilan
principal self efficacy for instructional leadership in the perspective of principal strengthening training work engagement job satisfaction and motivation to leave,2022,-1,0.0,-1_dan_the_and_of
relation of good university governance with education management information system excellent service and student trust at the entrepreneur campus,2021,142,1.0,142_satisfaction_lecturer_academic_institutions
the diagnostic feedback supervision model based on information technology as the new strategy to improve the professional competence of academic personnel in school organization,2021,75,0.9311181918777369,75_supervision_pengawas_administrasi_sekolah
modul pembelajaran pengembangan sistem manajemen pendidikan,2020,87,0.7821691070319857,87_self_regulated_belajar_strategi
analisis tahapan merger sekolah dasar hasil regrouping,2020,66,0.5327499498527551,66_kooperatif_cooperative_tipe_peer
online training design to improve basic teaching skills using flipped classroom,2020,29,0.5299122041194606,29_online_web_massive_learning
teachers professional development coaching based on islamic boarding school culture,2019,18,1.0,18_islamic_islam_boarding_agama
generate and test algorithm performance analysis for distribution system priority management in sengkaling substation malang,2020,-1,0.0,-1_dan_the_and_of
state space control using lqr method for a cart inverted pendulum linearised model,2017,-1,0.0,-1_dan_the_and_of
