judul,tahun,topic,probability,topic_name
peningkatan serapan kunjungan turis wisata dengan aplikasi e explanation journey berbasis tourist features di kawasan bumi perkemahan bedengan kabupaten malang,2021,2,1.0,2_tourism_wisata_ecotourism_sustainable
thermogravimetric analysis on combustion behavior of marine microalgae spirulina platensis induced b,2019,91,0.7623493712067466,91_combustion_platensis_microalgae_spirulina
critical thinking and reflective thinking skills in elementary school learning,2020,51,0.9516644488430671,51_critical_thinking_skills_reaction
study on photocatalytic properties of tio sub 2 sub nanoparticle in various ph condition,2018,47,0.9430641591356848,47_photocatalytic_degradation_tio2_methylene
penilaian pendidikan jasmani olahraga dan kesehatan pada sekolah menengah pertama negeri kota malang,2019,38,0.9551705902359823,38_olahraga_jasmani_sports_kesehatan
zeolite impregnated with ag as catalysts for glycerol conversion to ethanol assisted by ultrasonic,2019,-1,0.0,-1_learning_dan_the_and
sastra lisan kajian teori dan penerapannya,2017,193,1.0,193_filsafat_sebuah_teori_penerapannya
peningkatan kapasitas antioksidan akibat latihan aerobik intensitas sedang,2022,86,0.2655163099680914,86_exercise_obese_intensity_moderate
study on photocatalytic properties of tio2 nanoparticle in various ph condition,2018,47,0.8223878780800834,47_photocatalytic_degradation_tio2_methylene
pengembangan model latihan smash bolavoli pada kegiatan ekstrakurikuler di smpn 12 malang,2016,57,0.44704875404487665,57_drill_latihan_ekstrakurikuler_bolavoli
the evaluation of coursebook for grade x senior high school,2019,-1,0.0,-1_learning_dan_the_and
a multimodal semiotic analysis of university branding posters and films,2020,12,0.7253717379543345,12_brand_marketing_customer_consumer
lamikro berbasis android solusi mudah bagi fasilitator dan komunitas usaha mikro preman super di kota malang,2021,16,0.7733048081515111,16_android_mobile_media_smartphone
analisisi perspektif mahasiswa pada penerapan kertas kerja atlas di era digital,2021,-1,0.0,-1_learning_dan_the_and
business in the new normal era disclosure of accounting practice at msmes in malang city,2021,42,0.4350594397035075,42_financial_keuangan_literacy_money
revealing the sharia accounting practise at east java msmes to support halal business climate,2021,98,0.7066679734307579,98_sharia_syariah_islamic_banks
sharia accounting perception according to msmes in east java to foster a spirit of business continuity,2021,98,0.48784234021246,98_sharia_syariah_islamic_banks
studi literatur skeptisme kesiapan dan keahlian auditor dalam penggunaan software penunjang kegiatan audit berbasis digital,2021,87,1.0,87_audit_fraud_teknologi_auditing
pemanfaatan teknologi informasi terhadap kualitas audit dan upaya pencegahan fraud,2021,87,1.0,87_audit_fraud_teknologi_auditing
peran kemajuan teknologi informasi dalam praktik audit investigasi,2021,87,1.0,87_audit_fraud_teknologi_auditing
implementasi teknologi informasi dalam meningkatkan proses audit di era digital,2021,87,1.0,87_audit_fraud_teknologi_auditing
pengendalian internal sistem penggajian esensi langkah ekspansi umkm studi pada usaha dagang di kabupaten ngawi jawa timur ,2021,41,0.3145310861042183,41_kesehatan_medical_health_pelayanan
training of trainer model in an effort to improve the professionalism of accounting teachers,2021,35,0.9041248397330308,35_akuntansi_accounting_ifrs_mahasiswa
pendampingan penyiapan cafe pinggir kali sebagai wujud pemanfaatan sungai untuk daya tarik wisata alam bumi perkemahan bedengan desa selorejo kabupaten malang jawa timur,2020,2,1.0,2_tourism_wisata_ecotourism_sustainable
pembelajaran menggambar pada kanak kanak,2001,-1,0.0,-1_learning_dan_the_and
optimalisasi peran dunia industri dalam pembangunan daerah melalui corporate social responsibility,2020,172,0.6106061367642436,172_responsibility_corporate_csr_social
pelatihan dan pendampingan pembelajaran berbasis ict bagi guru akuntansi smk di kota malang,2020,35,0.8221718189822922,35_akuntansi_accounting_ifrs_mahasiswa
towards the qualified human resource internship program at leading ex lptk universities in indonesia,2020,-1,0.0,-1_learning_dan_the_and
sertifikat halal bagi produk makanan dan minuman untuk meningkatkan citra umkm di kabupaten blitar,2020,140,1.0,140_halal_sertifikasi_certification_produk
role of the parent factor causes and sexual violence prevention efforts in teenagers in the scope of school,2022,-1,0.0,-1_learning_dan_the_and
pendampingan praktik budaya nembang macapatan sebagai wahana sarasehan pembudayaan nilai nilai pancasila,2020,117,0.9675161119431925,117_budaya_cagar_kebudayaan_jawa
problematika pengintegrasian penguatan pendidikan karakter pada pembelajaran tematik,2019,28,0.5833009180413681,28_karakter_character_pendidikan_nilai
pendidikan dan latihan penyusunan perangkat pembelajaran yang mengintegrasikan ppk bagi guru ppkn mp di kota malang,2018,18,0.5666617002193636,18_guru_professional_profesional_teacher
efektivitas pelaksanaan e procurement dalam pengadaan barang dan jasa,2018,12,0.4316643940210114,12_brand_marketing_customer_consumer
public private partnerships in improving the quality of education for the poor in indonesia,2016,34,0.3775575212353539,34_inclusive_indonesia_education_teachers
examining public private partnership within the field of education as a means of improving education quality in malang a case study of sma negeri 10 malang sampoerna foundation,2016,-1,0.0,-1_learning_dan_the_and
kebijakan pemerintah dalam memperkokoh jati diri dan wawasan kebangsaan di era global,2016,99,0.346007521613025,99_hukum_konstitusi_negara_demokrasi
sub power plants injection to power grid based on wind and solar energy farms,2021,1,1.0,1_power_grid_voltage_system
model pembelajaran pendidikan karakter dengan pendekatan multikultural dalam pendidikan kewarganegaraan di perguruan tinggi,2016,-1,0.0,-1_learning_dan_the_and
pengembangan media cd pembelajaran berbasis prezi pada pokok bahasan globalisasi mata pelajaran pkn kelas ix mtsn bangsal mojokerto,2014,-1,0.0,-1_learning_dan_the_and
peningkatan hasil belajar siswa melalui pembelajaran koop eratif card sort berbasis kontektual dalam mata pelajaran pkn di smp negeri 10 malang,2014,-1,0.0,-1_learning_dan_the_and
kompetensi kepribadian dominan dalam pendidikan profesi guru,2021,-1,0.0,-1_learning_dan_the_and
islamic crash course as a leadership strategy of school principals in strengthening school organizat,2018,17,1.0,17_islamic_islam_boarding_muslim
kepemimpinan visioner di lembaga pendidikan,2017,25,0.881067991825617,25_kepemimpinan_kepala_leadership_sekolah
management of community participation at pesantren based junior high school,2016,92,0.7173843592833331,92_inklusi_sekolah_inklusif_landasan
supervision graduate competence standard parents role and the effectiveness of online learning during covid 19 pandemic,2021,9,0.4590804208662163,9_pandemic_covid_19_during
krisis tata kelola pendidikan indonesia,2021,34,0.29186976050310437,34_inclusive_indonesia_education_teachers
the comparative analysis of using communication technology and direct techniques in building school public relation,2019,-1,0.0,-1_learning_dan_the_and
the impacts of school operational assistance in indonesia,2019,34,0.3254269203837097,34_inclusive_indonesia_education_teachers
kerjasama smk dan cisco system dalam meningkatkan mutu pembelajaran teknik komputer jaringan,2018,-1,0.0,-1_learning_dan_the_and
manajemen kurikulum english lover,2018,83,0.8653059757141168,83_english_inggris_kalbos_angl
hubungan sekolah dan masyarakat,2015,92,0.7225121393368934,92_inklusi_sekolah_inklusif_landasan
hubungan implementasi budaya akademik dengan sikap ilmiah mahasiswa universitas negeri malang,2015,-1,0.0,-1_learning_dan_the_and
