judul,tahun,topic,probability,topic_name
peningkatan serapan kunjungan turis wisata dengan aplikasi e explanation journey berbasis tourist features di kawasan bumi perkemahan bedengan kabupaten malang,2021,2,1.0,2_tourism_wisata_ecotourism_tourist
thermogravimetric analysis on combustion behavior of marine microalgae spirulina platensis induced b,2019,86,0.7485065729907906,86_combustion_platensis_microalgae_spirulina
critical thinking and reflective thinking skills in elementary school learning,2020,41,0.8469337970110168,41_critical_thinking_skills_kritis
study on photocatalytic properties of tio sub 2 sub nanoparticle in various ph condition,2018,98,0.7965789728841569,98_photocatalytic_methylene_blue_degradation
penilaian pendidikan jasmani olahraga dan kesehatan pada sekolah menengah pertama negeri kota malang,2019,24,0.7436978256427696,24_olahraga_sports_jasmani_kesehatan
zeolite impregnated with ag as catalysts for glycerol conversion to ethanol assisted by ultrasonic,2019,-1,0.0,-1_dan_pada_di_malang
sastra lisan kajian teori dan penerapannya,2017,158,0.9466101334792227,158_filsafat_sebuah_metafora_metaphor
peningkatan kapasitas antioksidan akibat latihan aerobik intensitas sedang,2022,70,0.36436159657081607,70_exercise_obese_intensity_moderate
study on photocatalytic properties of tio2 nanoparticle in various ph condition,2018,98,0.9351931866722025,98_photocatalytic_methylene_blue_degradation
pengembangan model latihan smash bolavoli pada kegiatan ekstrakurikuler di smpn 12 malang,2016,115,0.33208546219071505,115_drill_pukulan_metode_latihan
the evaluation of coursebook for grade x senior high school,2019,147,0.7852669870470387,147_inklusi_sekolah_landasan_berkebutuhan
a multimodal semiotic analysis of university branding posters and films,2020,9,0.6075802499672587,9_brand_marketing_customer_consumer
lamikro berbasis android solusi mudah bagi fasilitator dan komunitas usaha mikro preman super di kota malang,2021,19,0.8122473510011321,19_android_mobile_media_smartphone
analisisi perspektif mahasiswa pada penerapan kertas kerja atlas di era digital,2021,-1,0.0,-1_dan_pada_di_malang
business in the new normal era disclosure of accounting practice at msmes in malang city,2021,48,0.3908443999959002,48_financial_keuangan_literacy_money
revealing the sharia accounting practise at east java msmes to support halal business climate,2021,92,0.6896003894924159,92_sharia_islamic_syariah_banks
sharia accounting perception according to msmes in east java to foster a spirit of business continuity,2021,92,0.9261687056464328,92_sharia_islamic_syariah_banks
studi literatur skeptisme kesiapan dan keahlian auditor dalam penggunaan software penunjang kegiatan audit berbasis digital,2021,82,1.0,82_audit_fraud_auditing_teknologi
pemanfaatan teknologi informasi terhadap kualitas audit dan upaya pencegahan fraud,2021,82,0.9760216310373591,82_audit_fraud_auditing_teknologi
peran kemajuan teknologi informasi dalam praktik audit investigasi,2021,82,1.0,82_audit_fraud_auditing_teknologi
implementasi teknologi informasi dalam meningkatkan proses audit di era digital,2021,82,1.0,82_audit_fraud_auditing_teknologi
pengendalian internal sistem penggajian esensi langkah ekspansi umkm studi pada usaha dagang di kabupaten ngawi jawa timur ,2021,-1,0.0,-1_dan_pada_di_malang
training of trainer model in an effort to improve the professionalism of accounting teachers,2021,39,0.7707603209971801,39_akuntansi_accounting_keuangan_belajar
pendampingan penyiapan cafe pinggir kali sebagai wujud pemanfaatan sungai untuk daya tarik wisata alam bumi perkemahan bedengan desa selorejo kabupaten malang jawa timur,2020,2,1.0,2_tourism_wisata_ecotourism_tourist
pembelajaran menggambar pada kanak kanak,2001,-1,0.0,-1_dan_pada_di_malang
optimalisasi peran dunia industri dalam pembangunan daerah melalui corporate social responsibility,2020,155,0.4652210321888259,155_responsibility_corporate_csr_social
pelatihan dan pendampingan pembelajaran berbasis ict bagi guru akuntansi smk di kota malang,2020,39,0.5032940493017491,39_akuntansi_accounting_keuangan_belajar
towards the qualified human resource internship program at leading ex lptk universities in indonesia,2020,-1,0.0,-1_dan_pada_di_malang
sertifikat halal bagi produk makanan dan minuman untuk meningkatkan citra umkm di kabupaten blitar,2020,139,1.0,139_halal_sertifikasi_certification_produk
role of the parent factor causes and sexual violence prevention efforts in teenagers in the scope of school,2022,-1,0.0,-1_dan_pada_di_malang
pendampingan praktik budaya nembang macapatan sebagai wahana sarasehan pembudayaan nilai nilai pancasila,2020,124,1.0,124_budaya_cagar_kebudayaan_kipas
problematika pengintegrasian penguatan pendidikan karakter pada pembelajaran tematik,2019,31,0.4209605927957107,31_karakter_character_nilai_pendidikan
pendidikan dan latihan penyusunan perangkat pembelajaran yang mengintegrasikan ppk bagi guru ppkn mp di kota malang,2018,243,1.0,243_guru_2013_kurikulum_zone
efektivitas pelaksanaan e procurement dalam pengadaan barang dan jasa,2018,9,0.4738262075600407,9_brand_marketing_customer_consumer
public private partnerships in improving the quality of education for the poor in indonesia,2016,34,0.9126499276663023,34_inclusive_indonesia_teachers_schools
examining public private partnership within the field of education as a means of improving education quality in malang a case study of sma negeri 10 malang sampoerna foundation,2016,-1,0.0,-1_dan_pada_di_malang
kebijakan pemerintah dalam memperkokoh jati diri dan wawasan kebangsaan di era global,2016,101,0.493171818569399,101_hukum_konstitusi_negara_demokrasi
sub power plants injection to power grid based on wind and solar energy farms,2021,3,0.9096045646812231,3_power_voltage_grid_system
model pembelajaran pendidikan karakter dengan pendekatan multikultural dalam pendidikan kewarganegaraan di perguruan tinggi,2016,-1,0.0,-1_dan_pada_di_malang
