judul,tahun,topic,probability,topic_name
peningkatan serapan kunjungan turis wisata dengan aplikasi e explanation journey berbasis tourist features di kawasan bumi perkemahan bedengan kabupaten malang,2021,3,1.0,3_tourism_wisata_ecotourism_tourist
thermogravimetric analysis on combustion behavior of marine microalgae spirulina platensis induced b,2019,60,0.6795216783185263,60_combustion_platensis_microalgae_spirulina
critical thinking and reflective thinking skills in elementary school learning,2020,35,0.995234175701552,35_critical_thinking_skills_kritis
study on photocatalytic properties of tio sub 2 sub nanoparticle in various ph condition,2018,123,0.7747372905888682,123_photocatalytic_methylene_degradation_blue
penilaian pendidikan jasmani olahraga dan kesehatan pada sekolah menengah pertama negeri kota malang,2019,25,0.8781941589789292,25_olahraga_sports_jasmani_kesehatan
zeolite impregnated with ag as catalysts for glycerol conversion to ethanol assisted by ultrasonic,2019,-1,0.0,-1_dan_the_of_and
sastra lisan kajian teori dan penerapannya,2017,180,1.0,180_filsafat_teori_sebuah_peirce
peningkatan kapasitas antioksidan akibat latihan aerobik intensitas sedang,2022,272,1.0,272_sauna_aerobic_exercise_erythrocyte
study on photocatalytic properties of tio2 nanoparticle in various ph condition,2018,123,0.9665309468437295,123_photocatalytic_methylene_degradation_blue
pengembangan model latihan smash bolavoli pada kegiatan ekstrakurikuler di smpn 12 malang,2016,56,0.5349636634931624,56_drill_latihan_ekstrakurikuler_metode
the evaluation of coursebook for grade x senior high school,2019,-1,0.0,-1_dan_the_of_and
a multimodal semiotic analysis of university branding posters and films,2020,12,0.38219281397069615,12_brand_marketing_customer_consumer
lamikro berbasis android solusi mudah bagi fasilitator dan komunitas usaha mikro preman super di kota malang,2021,14,0.7166427469392823,14_android_mobile_media_smartphone
analisisi perspektif mahasiswa pada penerapan kertas kerja atlas di era digital,2021,-1,0.0,-1_dan_the_of_and
business in the new normal era disclosure of accounting practice at msmes in malang city,2021,-1,0.0,-1_dan_the_of_and
revealing the sharia accounting practise at east java msmes to support halal business climate,2021,98,0.43338803767258444,98_sharia_syariah_islamic_banks
sharia accounting perception according to msmes in east java to foster a spirit of business continuity,2021,98,0.5650867094919374,98_sharia_syariah_islamic_banks
studi literatur skeptisme kesiapan dan keahlian auditor dalam penggunaan software penunjang kegiatan audit berbasis digital,2021,78,1.0,78_audit_fraud_teknologi_auditing
pemanfaatan teknologi informasi terhadap kualitas audit dan upaya pencegahan fraud,2021,78,1.0,78_audit_fraud_teknologi_auditing
peran kemajuan teknologi informasi dalam praktik audit investigasi,2021,78,1.0,78_audit_fraud_teknologi_auditing
implementasi teknologi informasi dalam meningkatkan proses audit di era digital,2021,78,0.990163429553838,78_audit_fraud_teknologi_auditing
pengendalian internal sistem penggajian esensi langkah ekspansi umkm studi pada usaha dagang di kabupaten ngawi jawa timur ,2021,-1,0.0,-1_dan_the_of_and
training of trainer model in an effort to improve the professionalism of accounting teachers,2021,33,0.8771642248367197,33_akuntansi_accounting_ifrs_mahasiswa
pendampingan penyiapan cafe pinggir kali sebagai wujud pemanfaatan sungai untuk daya tarik wisata alam bumi perkemahan bedengan desa selorejo kabupaten malang jawa timur,2020,3,1.0,3_tourism_wisata_ecotourism_tourist
pembelajaran menggambar pada kanak kanak,2001,-1,0.0,-1_dan_the_of_and
optimalisasi peran dunia industri dalam pembangunan daerah melalui corporate social responsibility,2020,150,0.4535598650085892,150_responsibility_corporate_csr_social
pelatihan dan pendampingan pembelajaran berbasis ict bagi guru akuntansi smk di kota malang,2020,33,0.7679303125452025,33_akuntansi_accounting_ifrs_mahasiswa
towards the qualified human resource internship program at leading ex lptk universities in indonesia,2020,9,0.7439214883232951,9_vocational_industrial_industri_employability
sertifikat halal bagi produk makanan dan minuman untuk meningkatkan citra umkm di kabupaten blitar,2020,142,1.0,142_halal_sertifikasi_certification_produk
role of the parent factor causes and sexual violence prevention efforts in teenagers in the scope of school,2022,296,1.0,296_sexual_abuse_seksual_violence
pendampingan praktik budaya nembang macapatan sebagai wahana sarasehan pembudayaan nilai nilai pancasila,2020,135,0.9379165954144204,135_budaya_kebudayaan_cagar_nilai
problematika pengintegrasian penguatan pendidikan karakter pada pembelajaran tematik,2019,26,0.497461469005009,26_karakter_character_pendidikan_nilai
