topic,topic_words,tahun,count
1,"tekstologi, filologi, relevansinya, sastra, lama",1985-12-17 18:07:12,1
39,"modern, sastra, sejarah, indonesia, fisika",1985-12-17 18:07:12,1
90,"mitos, trilogi, kontra, dukuh, paruk",1985-12-17 18:07:12,1
27,"clique, covering, deficiencies, vertex, trees",1989-11-25 12:00:00,1
90,"bandingan, khotbah, perawan, bukit, telaah",1989-11-25 12:00:00,1
135,"kerajinan, tengah, tradisional, fungsi, perkembangan",1989-11-25 12:00:00,1
27,"deficiencies, triangle, connected, regular, free",1991-03-15 08:00:00,1
62,"semiotik, pengantar, sebuah, writing, efl",1991-03-15 08:00:00,1
135,"logika, pengantar, kebudayaan, menuju, sebuah",1991-03-15 08:00:00,1
184,"siasat, pengubahan, kebiasaan, kelola, diri",1991-03-15 08:00:00,1
18,"tipe, dharma, kepribadian, ikip, wanita",1993-10-20 00:00:00,1
62,"traksaksi, penalaran, kritis, sebagai, writing",1993-10-20 00:00:00,1
71,"motorik, belajar, betel, crocatum, piper",1993-10-20 00:00:00,1
176,"silicate, glasses, nmr, d2o, spectroscopy",1993-10-20 00:00:00,3
213,"etnografi, penelitian, data, analisis, desa",1993-10-20 00:00:00,1
12,"benda, consumer, organisation, onix, limba",1997-09-13 12:00:00,2
13,"inpres, bacaan, apresiasi, pengajaran, dasar",1997-09-13 12:00:00,1
27,"pohon, minimum, either, biner, given",1997-09-13 12:00:00,2
28,"kemitrasejajaran, pria, 1994, ilustrasi, tinjauan",1997-09-13 12:00:00,1
43,"bernalar, mengembangkan, pemecahan, masalah, berpikir",1997-09-13 12:00:00,1
62,"mbah, gandrung, mengenal, wayang, writing",1997-09-13 12:00:00,1
97,"humiltonian, numerik, pengoptimalan, skema, persamaan",1997-09-13 12:00:00,1
146,"pemakaian, wacana, sebuah, kajian, bahasa",1997-09-13 12:00:00,1
176,"relaxation, glasses, nmr, porous, sol",1997-09-13 12:00:00,2
198,"guessing, unfamiliar, contributing, little, words",1997-09-13 12:00:00,1
1,"speakers, millennial, bipa, foreign, generation",1999-01-01 08:00:00,1
19,"abstrak, jabatan, melaksanakan, semangat, filsafat",1999-01-01 08:00:00,2
30,"borate, ligands, dihydrobis, dinuclear, azolyl",1999-01-01 08:00:00,2
41,"fasilitas, perancangan, bangunan, kajian, perilaku",1999-01-01 08:00:00,1
97,"swa, postulat, ketakpastian, heisenberg, cocokan",1999-01-01 08:00:00,1
176,"tetramethoxysilane, gelation, relaxation, nmr, gels",1999-01-01 08:00:00,3
244,"193, blanket, postexposure, nm, gratings",1999-01-01 08:00:00,1
30,"borate, imidazolyl, nitroxide, arabic, radicals",2000-04-20 04:00:00,4
32,"leverage, perusahaan, dividen, ukuran, siklus",2000-04-20 04:00:00,1
34,"menaquinol, azotoformans, reductase, copper, containing",2000-04-20 04:00:00,1
45,"pinning, sheath, tapes, 2223, additives",2000-04-20 04:00:00,1
50,"auditory, somatic, savi, repetition, visual",2000-04-20 04:00:00,1
72,"solitons, 810, bright, cm, femtosecond",2000-04-20 04:00:00,2
244,"spectral, gratings, bragg, reversible, induced",2000-04-20 04:00:00,1
1,"pengajaran, inggris, leksikon, bahasa, kualitatif",2001-08-08 00:00:00,3
6,"bi2sr2cacu2o8, anisotropy, vortex, roles, disorder",2001-08-08 00:00:00,1
30,"derivatives, arabic, tris, silver, arab",2001-08-08 00:00:00,4
45,"sheaths, tapes, 2223, additives, loss",2001-08-08 00:00:00,1
75,"hedychium, acuminatum, histologic, roscoe, metabolites",2001-08-08 00:00:00,1
126,"bantaran, kepedulian, sungai, brantas, hidup",2001-08-08 00:00:00,1
180,"dilema, determinisme, perjalanan, reflektif, sebuah",2001-08-08 00:00:00,1
1,"invest, today, lexically, your, better",2002-11-25 20:00:00,3
4,"daur, instrumentasi, praktikum, kuliah, kimia",2002-11-25 20:00:00,1
5,"belajar, kebiasaan, lingkungan, hubungan, prestasi",2002-11-25 20:00:00,2
6,"lowest, kramers, doublet, xnd0, 4srxcuo4",2002-11-25 20:00:00,1
7,"patriot, implementasinya, lptk, wirausaha, perguruan",2002-11-25 20:00:00,2
13,"kreativitas, membaca, menulis, faktor, dasar",2002-11-25 20:00:00,1
20,"imbalan, ekstrinsik, asuransi, asi, dampaknya",2002-11-25 20:00:00,1
22,"mikrokontroler, terprogram, at89c2051, konstan, 80c31",2002-11-25 20:00:00,2
29,"nadzam, kerancuan, syi, kesusastraan, ir",2002-11-25 20:00:00,1
30,"arabic, silver, arab, spectroscopic, agno2",2002-11-25 20:00:00,9
32,"tobin, diukur, kepemilikan, manajerial, linear",2002-11-25 20:00:00,1
34,"reductase, akuntansi, accounting, concomitantly, bind",2002-11-25 20:00:00,2
90,"legenda, mitos, boyolangu, tulungagung, kecamatan",2002-11-25 20:00:00,1
97,"casimir, fluctuation, macroscopic, vacuum, quantum",2002-11-25 20:00:00,1
113,"ideals, dubrovin, valuation, rings, ring",2002-11-25 20:00:00,2
125,"vries, korteweg, jalan, persamaan, solusi",2002-11-25 20:00:00,1
145,"smla0, 8sr0, 2cuo4, peak, vortex",2002-11-25 20:00:00,1
146,"aspiring, rhetorical, bi, competence, neutron",2002-11-25 20:00:00,1
166,"rekursi, backtracking, fungsi, fractions, fraction",2002-11-25 20:00:00,1
176,"nuclear, glasses, resonance, nanoporous, vapor",2002-11-25 20:00:00,3
180,"menjelajah, renungan, filosofis, sebuah, alam",2002-11-25 20:00:00,1
1,"urge, vocabulary, foreign, instruction, classroom",2004-03-14 16:00:00,1
20,"artha, saf, sasana, kuantitas, kompensasi",2004-03-14 16:00:00,1
22,"pengamanan, gangguan, fasa, berbagai, listrik",2004-03-14 16:00:00,1
29,"problematikanya, fusha, amiyah, serta, arab",2004-03-14 16:00:00,1
30,"arabic, arab, adducts, oxyanion, syntheses",2004-03-14 16:00:00,10
32,"top, losser, piutang, likuid, listing",2004-03-14 16:00:00,1
40,"desparitas, regional, domestik, bruto, 1998",2004-03-14 16:00:00,1
47,"daerah, keuangan, menuju, baru, akuntansi",2004-03-14 16:00:00,2
68,"denitrification, bacterium, azotoformans, gram, bound",2004-03-14 16:00:00,1
73,"pawiyatan, pengejawantahan, tamansiswa, dewantara, hadjar",2004-03-14 16:00:00,1
93,"tembok, kontinu, rol, cat, rancang",2004-03-14 16:00:00,1
111,"penyempitan, clumprit, pemilikan, lahan, pertanian",2004-03-14 16:00:00,2
146,"lexically, metaphor, enhancing, language, teaching",2004-03-14 16:00:00,1
0,"beracuan, konstruktivisme, matematika, smp, pengembangan",2005-07-02 12:00:00,1
1,"introductions, indonesians, rhetoric, grammar, written",2005-07-02 12:00:00,2
2,"geneation, host, voltage, load, stability",2005-07-02 12:00:00,1
