judul,tahun,topic,probability,topic_name
peningkatan serapan kunjungan turis wisata dengan aplikasi e explanation journey berbasis tourist features di kawasan bumi perkemahan bedengan kabupaten malang,2021,2,1.0,2_tourism_wisata_ecotourism_sustainable
thermogravimetric analysis on combustion behavior of marine microalgae spirulina platensis induced b,2019,83,0.7856108914728887,83_combustion_platensis_microalgae_spirulina
critical thinking and reflective thinking skills in elementary school learning,2020,44,0.8925648320337072,44_critical_thinking_skills_kewarganegaraan
study on photocatalytic properties of tio sub 2 sub nanoparticle in various ph condition,2018,116,0.7024240081428902,116_photocatalytic_methylene_tio2_degradation
penilaian pendidikan jasmani olahraga dan kesehatan pada sekolah menengah pertama negeri kota malang,2019,33,1.0,33_olahraga_jasmani_sports_kesehatan
zeolite impregnated with ag as catalysts for glycerol conversion to ethanol assisted by ultrasonic,2019,-1,0.0,-1_dan_the_learning_and
sastra lisan kajian teori dan penerapannya,2017,157,1.0,157_filsafat_teori_sebuah_existential
peningkatan kapasitas antioksidan akibat latihan aerobik intensitas sedang,2022,233,1.0,233_sauna_intensity_interval_exercise
study on photocatalytic properties of tio2 nanoparticle in various ph condition,2018,116,0.7525900581674669,116_photocatalytic_methylene_tio2_degradation
pengembangan model latihan smash bolavoli pada kegiatan ekstrakurikuler di smpn 12 malang,2016,-1,0.0,-1_dan_the_learning_and
the evaluation of coursebook for grade x senior high school,2019,-1,0.0,-1_dan_the_learning_and
a multimodal semiotic analysis of university branding posters and films,2020,9,0.7449786362833428,9_brand_marketing_customer_loyalty
lamikro berbasis android solusi mudah bagi fasilitator dan komunitas usaha mikro preman super di kota malang,2021,15,0.9962453652916599,15_android_mobile_media_smartphone
analisisi perspektif mahasiswa pada penerapan kertas kerja atlas di era digital,2021,-1,0.0,-1_dan_the_learning_and
business in the new normal era disclosure of accounting practice at msmes in malang city,2021,-1,0.0,-1_dan_the_learning_and
revealing the sharia accounting practise at east java msmes to support halal business climate,2021,96,0.49305295875351696,96_sharia_syariah_islamic_banks
sharia accounting perception according to msmes in east java to foster a spirit of business continuity,2021,96,0.7908536367630825,96_sharia_syariah_islamic_banks
studi literatur skeptisme kesiapan dan keahlian auditor dalam penggunaan software penunjang kegiatan audit berbasis digital,2021,73,0.9326218122116091,73_fraud_audit_teknologi_auditing
pemanfaatan teknologi informasi terhadap kualitas audit dan upaya pencegahan fraud,2021,73,1.0,73_fraud_audit_teknologi_auditing
peran kemajuan teknologi informasi dalam praktik audit investigasi,2021,73,1.0,73_fraud_audit_teknologi_auditing
implementasi teknologi informasi dalam meningkatkan proses audit di era digital,2021,73,0.7704803674033592,73_fraud_audit_teknologi_auditing
pengendalian internal sistem penggajian esensi langkah ekspansi umkm studi pada usaha dagang di kabupaten ngawi jawa timur ,2021,49,0.3427436817247206,49_kesehatan_medical_health_pelayanan
training of trainer model in an effort to improve the professionalism of accounting teachers,2021,35,0.6126769803295383,35_akuntansi_accounting_ifrs_mahasiswa
pendampingan penyiapan cafe pinggir kali sebagai wujud pemanfaatan sungai untuk daya tarik wisata alam bumi perkemahan bedengan desa selorejo kabupaten malang jawa timur,2020,2,1.0,2_tourism_wisata_ecotourism_sustainable
pembelajaran menggambar pada kanak kanak,2001,-1,0.0,-1_dan_the_learning_and
optimalisasi peran dunia industri dalam pembangunan daerah melalui corporate social responsibility,2020,155,0.5991785393986416,155_responsibility_corporate_csr_social
pelatihan dan pendampingan pembelajaran berbasis ict bagi guru akuntansi smk di kota malang,2020,35,0.42597177407923564,35_akuntansi_accounting_ifrs_mahasiswa
towards the qualified human resource internship program at leading ex lptk universities in indonesia,2020,-1,0.0,-1_dan_the_learning_and
sertifikat halal bagi produk makanan dan minuman untuk meningkatkan citra umkm di kabupaten blitar,2020,151,0.8527190996503097,151_halal_sertifikasi_certification_produk
role of the parent factor causes and sexual violence prevention efforts in teenagers in the scope of school,2022,-1,0.0,-1_dan_the_learning_and
pendampingan praktik budaya nembang macapatan sebagai wahana sarasehan pembudayaan nilai nilai pancasila,2020,137,0.9587644948183915,137_budaya_cagar_kebudayaan_nilai
problematika pengintegrasian penguatan pendidikan karakter pada pembelajaran tematik,2019,31,0.7452602086323956,31_karakter_character_pendidikan_nilai
pendidikan dan latihan penyusunan perangkat pembelajaran yang mengintegrasikan ppk bagi guru ppkn mp di kota malang,2018,34,0.48136335227984356,34_guru_professional_professionalism_profesional
efektivitas pelaksanaan e procurement dalam pengadaan barang dan jasa,2018,9,0.31467242388854944,9_brand_marketing_customer_loyalty
public private partnerships in improving the quality of education for the poor in indonesia,2016,30,0.33362400032557604,30_inclusive_indonesia_teachers_schools
examining public private partnership within the field of education as a means of improving education quality in malang a case study of sma negeri 10 malang sampoerna foundation,2016,-1,0.0,-1_dan_the_learning_and
kebijakan pemerintah dalam memperkokoh jati diri dan wawasan kebangsaan di era global,2016,94,0.2754347040652208,94_hukum_negara_konstitusi_demokrasi
sub power plants injection to power grid based on wind and solar energy farms,2021,206,0.9989943594661483,206_techno_charging_solar_ev
model pembelajaran pendidikan karakter dengan pendekatan multikultural dalam pendidikan kewarganegaraan di perguruan tinggi,2016,-1,0.0,-1_dan_the_learning_and
pengembangan media cd pembelajaran berbasis prezi pada pokok bahasan globalisasi mata pelajaran pkn kelas ix mtsn bangsal mojokerto,2014,-1,0.0,-1_dan_the_learning_and
peningkatan hasil belajar siswa melalui pembelajaran koop eratif card sort berbasis kontektual dalam mata pelajaran pkn di smp negeri 10 malang,2014,-1,0.0,-1_dan_the_learning_and
kompetensi kepribadian dominan dalam pendidikan profesi guru,2021,-1,0.0,-1_dan_the_learning_and
islamic crash course as a leadership strategy of school principals in strengthening school organizat,2018,27,0.8579532905204293,27_islamic_islam_boarding_agama
kepemimpinan visioner di lembaga pendidikan,2017,23,0.8755534018638902,23_kepemimpinan_kepala_leadership_sekolah
management of community participation at pesantren based junior high school,2016,-1,0.0,-1_dan_the_learning_and
supervision graduate competence standard parents role and the effectiveness of online learning during covid 19 pandemic,2021,13,1.0,13_pandemic_19_covid_during
krisis tata kelola pendidikan indonesia,2021,30,0.2668116900269438,30_inclusive_indonesia_teachers_schools
the comparative analysis of using communication technology and direct techniques in building school public relation,2019,-1,0.0,-1_dan_the_learning_and
the impacts of school operational assistance in indonesia,2019,30,0.2905629199616331,30_inclusive_indonesia_teachers_schools
kerjasama smk dan cisco system dalam meningkatkan mutu pembelajaran teknik komputer jaringan,2018,-1,0.0,-1_dan_the_learning_and
manajemen kurikulum english lover,2018,66,0.8592904646700503,66_english_inggris_angl_kalbos
hubungan sekolah dan masyarakat,2015,51,0.8497793087010717,51_2020_pendidikan_2019_universitas
hubungan implementasi budaya akademik dengan sikap ilmiah mahasiswa universitas negeri malang,2015,51,0.8748182505685651,51_2020_pendidikan_2019_universitas
satu kepala sekolah dua marwah kurikulum,2015,-1,0.0,-1_dan_the_learning_and
mendapuk kepala sekolah dari guru profesional,2014,229,0.9095612938870697,229_supervision_techniques_resultado_geli
pengembangan implementasi gerakan literasi sastra anak mampukah menumbuhkan minat baca siswa sekolah dasar,2022,10,0.5719677401590874,10_reading_membaca_comprehension_literasi
pengaruh supervisi pengajaran dan gaya kepemimpinan kepala sekolah terhadap kinerja guru di sma negeri se kabupaten lamongan,2012,23,0.4939035816598999,23_kepemimpinan_kepala_leadership_sekolah
women right and gender equality in islam a survey of students perception on feministic discourse,2021,-1,0.0,-1_dan_the_learning_and
tashmm ibtikr tadrs al lughoh al arabiyyah al assi android tathwr al mawd al dirsiyyah li mdah al tarkb al mukatstsaf al ibtid bi qism al adab al araby,2020,196,0.8884722520939308,196_al_wa_ta_fi
pendampingan penyusunan program pengembangan kelembagaan dan pembelajaran pos paud yang adaptif terhadap perkembangan teknologi,2021,-1,0.0,-1_dan_the_learning_and
development of content learning system in professional education subjects for educational institutions in indonesia,2020,-1,0.0,-1_dan_the_learning_and
development of content learning system in professional education subjects for educational institutio,2020,-1,0.0,-1_dan_the_learning_and
development of e learning courses for subjects about learn and learningwith moodle based for prospective teacher in indonesia,2020,260,1.0,260_moodle_subjects_mkdk_learn
transformation the meaning of learning for millennial generation on digital era ,2020,-1,0.0,-1_dan_the_learning_and
the efforts to strengthen nationalist character values through the methods of story telling and dancing,2020,-1,0.0,-1_dan_the_learning_and
pelatihan penulisan karya tulis ilmiah berpola 40 jam bagi guru tk paud,2020,163,1.0,163_penulisan_ilmiah_artikel_guru
pengembangan inovasi pendidikan prasekolah di lingkungan binaan um berbasis mastery progresif,2019,-1,0.0,-1_dan_the_learning_and
transformasi belajar generasi milenial,2018,-1,0.0,-1_dan_the_learning_and
facilitative learning to improve student learning creativity,2018,89,0.8229566600015524,89_creative_kreatif_thinking_berpikir
model of moral and religious learning for early childhood constructivist oriented,2018,71,0.5639025109002962,71_religious_radicalism_moderation_religius
internalisasi nilai karakter nasionalisme melalui dongeng dan tari dori bagi anak usia dini,2018,-1,0.0,-1_dan_the_learning_and
integration models of religious and moral values in tematic learning in early childhood education programs,2018,71,0.7643036361311173,71_religious_radicalism_moderation_religius
pelatihan penyusunan program penguatan pendidikan karakter guru paud malang,2018,34,0.5305620052473962,34_guru_professional_professionalism_profesional
supervisi budaya dalam meningkatkan implementasi kurikulum 2013 di taman kanak kanak,2017,266,1.0,266_2013_kurikulum_implementasi_guru
pelatihan menulisan artikel ilmiah bagi guru sekolah dasar dan taman kanak kanak kecamatan tajinan kabupaten malang,2017,163,1.0,163_penulisan_ilmiah_artikel_guru
peran orang tua membentuk generasi emas,2015,-1,0.0,-1_dan_the_learning_and
inovasi media pembelajaran bagi kecerdasan jamak anak taman kanak kanak,2014,47,0.8223327486343387,47_media_pembelajaran_bagi_guru
analisis penerapan strategi media dan penilaian pembelajaran pjok pada masa pandemi covid 19 di smk negeri se kota malang,2022,13,0.6624836888445192,13_pandemic_19_covid_during
penerapan media audio visual dalam meningkatkan hasil latihan teknik dasar dollyo chagi pada peserta ekstrakurikuler taekwondo di sma,2022,-1,0.0,-1_dan_the_learning_and
pengembangan model pembelajaran tgfu untuk meningkatkan teknik dasar sepak cungkil dan sepak sila sepak takraw,2021,-1,0.0,-1_dan_the_learning_and
 efektivitas pembelajaran sport massase berbasis multimedia interaktif untuk mahasiswa pendidikan jasmani kesehatan dan rekreasi ,2020,-1,0.0,-1_dan_the_learning_and
efektivitas penilaian online dan konvensional pada ranah kognitif dalam pembelajaran pjok kelas x sman se kabupaten trenggalek,2019,20,0.4765224359711447,20_online_web_jaringan_learning
peningkatan keterampilan smash kedeng menggunakan metode drill bervariasi bagi peserta ekstrakurikuler sepaktakraw di smpn 6 malang,2019,81,1.0,81_drill_latihan_metode_pukulan
pengembangan model pembelajaran servis backhand untuk peserta ekstrakurikuler tenis meja di sdn 01 lumutan kabupaten bondowoso,2019,-1,0.0,-1_dan_the_learning_and
koherensi program pembelajaran karya mahasiswa pendidikan profesi guru fisika tahun 2017,2019,50,0.8628191047660639,50_fisika_physics_padat_prestasi
pembinaan keterampilan untuk meningkatkan sdm warga binaan lapas kelas i malang,2021,-1,0.0,-1_dan_the_learning_and
evaluasi penggunaan model pembelajaran mind mapping pada mata kuliah desain ilustrasi,2021,-1,0.0,-1_dan_the_learning_and
development of open education resources oer learning in vocational education,2019,8,0.5694400863553557,8_vocational_industrial_employability_industri
the development of learning media in the form of pop up books to understand narrative text,2020,-1,0.0,-1_dan_the_learning_and
analysis of desires of the main character in the short story ein tisch ist ein tisch by peter bichsel a study of deleuze and guattari s schizoanalysis,2020,134,0.7388699756779414,134_mitos_jewel_peksi_tisch
prosiding seminar nasional dalam jaringan sedaring nitisastra 5 menembus batas kreasi menuju generasi mandiri membangun profil pembelajaran bahasa dan sastra indonesia pada era kehidupan dalam jaringan,2021,1,1.0,1_indonesian_bahasa_indonesia_language
pengembangan media belajar mooc bagi guru pamong ppl ppg universitas negeri malang,2020,47,0.7445689376639778,47_media_pembelajaran_bagi_guru
language expressions in constructing physical masculinity in indonesian teen lit,2020,1,0.6716202311976343,1_indonesian_bahasa_indonesia_language
buddy school membangun pertemanan antarsekolah,2020,-1,0.0,-1_dan_the_learning_and
teenlit dan bahasa yang berkarakter indonesia,2015,1,1.0,1_indonesian_bahasa_indonesia_language
membaca kritis teenlit sebuah upaya menjadikan teenlit sebagai media pendidikan karakter,2013,-1,0.0,-1_dan_the_learning_and
penerimaan perempuan terhadap poligami dalam film ayat ayat cinta,2009,32,0.3631393080365739,32_gender_women_perempuan_kesetaraan
refleksi kritis ujian nasional menuju ujian sekolah,2004,-1,0.0,-1_dan_the_learning_and
tingkat kebisingan terhadap kenyamanan ruang kelas studi kasus 12 sekolah dasar di kabupaten malang ,2021,-1,0.0,-1_dan_the_learning_and
pengembangan e modul sketchup berorientasi project based learning pada mata pelajaran menggambar dengan perangkat lunak smkn 1 sidoarjo,2020,-1,0.0,-1_dan_the_learning_and
opinions about the use of higher order thinking skills in general vocational and academic education learning in indonesia,2020,-1,0.0,-1_dan_the_learning_and
level of thinking in exams and assignments as assessment in the civil engineering department state university of malang indonesia,2018,30,0.2545691727114237,30_inclusive_indonesia_teachers_schools
edukasi dan pelatihan kewirausahaan pembuatan jamu untuk pemberdayaan perempuan desa langlang kabupaten malang,2021,-1,0.0,-1_dan_the_learning_and
assessment of financial ratio analysis for evaluation of small medium enterprises sme performance study on irt ramayana agro mandiri batu city 2016 2019 ,2021,-1,0.0,-1_dan_the_learning_and
pengaruh islamic perspective terhadap employee motivation dalam memenuhi tuntutan perubahan lingkungan bisnis,2021,27,0.8101323406155932,27_islamic_islam_boarding_agama
chemistry students digital literacy skills on thermochemistry context hydrogen fuel issue ,2022,3,0.6835615503168155,3_chemistry_kimia_chemical_base
synthesis of zeolite na hx using silica based of coastal sand by hydrothermal method,2020,68,0.7426716377228237,68_silica_cellulose_alumina_aerogel
effect of temperature synthesis on structural behaviours of nay zeolite using local sand as a silica source,2020,68,0.7069265433782245,68_silica_cellulose_alumina_aerogel
a molecular docking study of dehydroevodiamine as an inhibitor of epstein barr virus protease,2020,265,0.8936377629118911,265_molecular_docking_16_papillomavirus
chemistry teachers views about scientific inquiry a study in east java province of indonesia,2019,3,0.518303098547717,3_chemistry_kimia_chemical_base
pengembangan instrumen tes diagnostik two tier pada materi asam basa,2016,120,0.5758592024905963,120_instrumen_tier_tes_diagnostik
theoretical study on 15 crown 5 complex with some metal cations,2012,42,0.1484150964725305,42_silver_complexes_adducts_ligands
the factors influencing students proof comprehension on mathematical induction,2022,0,0.7356545925223724,0_solving_mathematical_mathematics_problems
strong rainbow connection numbers of helm graphs and amalgamation of lollipop graphs,2021,117,0.8649818956741306,117_graphs_labeling_graph_odd
on ramsey p inf 3 inf c inf 7 inf minimal graphs,2020,121,1.0,121_graphs_ramsey_minimal_p3
on ramsey p inf 3 inf c inf 6 inf minimal graphs for certain order,2020,121,0.7339829782936114,121_graphs_ramsey_minimal_p3
perencanaan pembangunan,2014,-1,0.0,-1_dan_the_learning_and
on the properties of bipolar anti fuzzy graph magic labeling,2019,240,1.0,240_fuzzy_graph_anti_regular
some unicyclic ramsey p inf 3 inf p inf n inf minimal graphs,2019,121,0.48022700494729514,121_graphs_ramsey_minimal_p3
on ramsey i p i sub 3 sub i p i sub 6 sub minimal graphs,2016,121,0.8136343706091484,121_graphs_ramsey_minimal_p3
on ramsey minimal graphs for the pair paths ,2015,-1,0.0,-1_dan_the_learning_and
on ramsey minimal graphs for the pair paths,2015,-1,0.0,-1_dan_the_learning_and
aplikasi machine learning di bidang manajemen konstruksi,2022,-1,0.0,-1_dan_the_learning_and
optimizing deep learning ann model to predict customer churn,2021,123,0.8389263422460144,123_neural_forecasting_network_visitors
pengembangan media pembelajaran berbasis geo search pada materi geografi pokok bahasan sebaran dan pemanfaatan sumber daya alam,2021,43,0.40759551342553096,43_geography_geografi_spatial_outdoor
